MAPPING_ENTITY,DSN,DOMAIN_NAME,INTERFACE_NAME,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,COMREFTRAN,BUSINESS_UNIT
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,SNOWFLAKE_CREATEDDTM,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,"CONSIGNEE_NAME,LV1.LOOKUP_VALUE,LV2.LOOKUP_VALUE,CONSIGNEE_ZIPCODE",COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,POD,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_CONSIGNEE_XREF,CONSIGNEE_ADJ,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_CONSIGNEE_XREF,CORRECT_CONSIGNEE_COUNTRY,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,SNOWFLAKE_MODIFIEDDTM,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,CONSIGNEE_NAME,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,DSN,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,LOOKUP_VALUES,LOOKUP_VALUE,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_CONSIGNEE_XREF,CORRECT_CONSIGNEE_CITY,COMREF,SCBI
CONSIGNEE,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,DESTINATION,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_PORT_CITIES_XREF,PORT_CODE,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,POD,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,SNOWFLAKE_MODIFIEDDTM,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,POL,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,DSN,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_PORT_CITIES_XREF,PORT_CITY,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,SNOWFLAKE_CREATEDDTM,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_PORT_CITIES_XREF,PORT_COUNTRY,COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,"POL ,POD",COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,"POL , POD",COMREF,SCBI
PORT_LOCATION,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,,COMREF,SCBI
SHIPPER,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,SNOWFLAKE_CREATEDDTM,COMREF,SCBI
SHIPPER,ACL,LOGISTICS,Logistics,TA_SHIPPER_XREF,CORRECT_SHIPPER_CITY,COMREF,SCBI
SHIPPER,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,ORIGIN,COMREF,SCBI
SHIPPER,ACL,LOGISTICS,Logistics,TA_ACL_SHIPMENT,SHIPPER_ZIPCODE,COMREF,SCBI
